"","Heures"
"1",8798.91637883932
"2",8616.61497300508
"3",8853.72852256385
"4",8823.13789320826
"5",8745.51243649837
"6",8804.42194305691
"7",8729.46393657097
"8",8660.71827430752
"9",8746.87686293054
"10",8762.30242001075
"11",8849.66033301031
"12",8819.30383114433
"13",8975.20852676602
"14",8625.31201411713
"15",8601.51273956559
"16",8767.80492958679
"17",8899.57908986251
"18",8580.70643171841
"19",8677.52250589102
"20",8731.62299493361
"21",8851.64916163078
"22",8687.67937189578
"23",8806.26767662297
"24",8502.03711335028
"25",8950.34768012674
"26",8643.70516102537
"27",8649.89366963095
"28",8754.02416057531
"29",8824.40424124329
"30",8855.97482136274
"31",8601.48193195391
"32",8837.11518226854
"33",8901.03086741051
"34",8912.33213586834
"35",8830.70893920644
"36",8719.57747594155
"37",8570.7744329485
"38",8721.4788205669
"39",8620.41891582934
"40",8859.29647390322
"41",8620.30942977056
"42",8787.91221328087
"43",8637.45343931469
"44",8616.67200510596
"45",8656.03181207613
"46",8820.53770613728
"47",8698.62999205164
"48",8788.99630881773
"49",8714.31700586573
"50",8756.85516553992
"51",9047.80448006336
"52",8497.78199754753
"53",8572.6486793922
"54",8814.06501982379
"55",8736.29062198972
"56",8774.57763732621
"57",8688.60127688924
"58",8729.01160165362
"59",8637.00114016352
"60",8764.99394290308
"61",8904.22294073849
"62",8594.86005885289
"63",8927.27307148253
"64",8587.85395131094
"65",8636.14788650534
"66",8611.05478683519
"67",8729.94366413169
"68",9111.5362381406
"69",8708.46696220021
"70",8998.70999582747
"71",8663.13106037291
"72",9043.4642987138
"73",8667.693513082
"74",8906.39333198849
"75",8791.85112090079
"76",8737.55646174215
"77",8824.19438539897
"78",8570.34555133173
"79",8785.75988349197
"80",8828.3248321506
